Study Name (Year),Population Studied,Intervention,Primary Endpoint Outcomes,TRAE Toxicities
"IMvigor210 (2016)","Patients with locally advanced or metastatic UC who progressed during or following platinum-based chemotherapy","Atezolizumab (anti-PD-L1 antibody)","ORR: 15% (95% CI: 11–19%); Median OS: 7.9 months (95% CI: 6.7–9.3); ORR in high PD-L1: 26%","Grade 3–4 TRAEs: 16%; Common TRAEs: Fatigue, decreased appetite, nausea, urinary tract infection, pyrexia, pruritus; Grade ≥3: Fatigue (2%), UTI (2%), anemia (2%)"
"KEYNOTE-045 (2017)","Patients with advanced UC who progressed after platinum-based chemotherapy","Pembrolizumab (anti-PD-1 antibody) vs. chemotherapy (paclitaxel, docetaxel, vinflunine)","Median OS: 10.3 months (pembrolizumab) vs. 7.4 months (chemotherapy); HR 0.73 (95% CI: 0.59–0.91, p=0.002)","Grade 3–5 TRAEs: 15% (pembrolizumab) vs. 49% (chemotherapy); Common TRAEs: Fatigue, pruritus, nausea, diarrhea, decreased appetite; Grade ≥3: Fatigue (1%), diarrhea (1%), anemia (2%)"
"CheckMate 275 (2017)","Patients with locally advanced or metastatic UC who progressed during or after platinum-based chemotherapy","Nivolumab (anti-PD-1 antibody)","ORR: 19.6% (95% CI: 15.0–24.9%); Median OS: 8.74 months (95% CI: 6.05–11.96)","Grade 3–4 TRAEs: 18%; Common TRAEs: Fatigue, diarrhea, pruritus, rash, nausea; Most common Grade ≥3: Fatigue, diarrhea, pruritus"
"IMvigor130 (2019)","Treatment-naïve patients with locally advanced or metastatic UC","Atezolizumab ± platinum-based chemotherapy vs. chemotherapy","PFS: 8.2 months (atezolizumab + chemotherapy) vs. 6.3 months (chemotherapy); OS: Not significantly different","Common TRAEs: Fatigue, nausea, alopecia, anemia; Grade ≥3 TRAEs: Similar between arms"
"DANUBE (2020)","Treatment-naïve patients with locally advanced or metastatic UC","Durvalumab ± tremelimumab vs. chemotherapy","OS: No significant improvement with durvalumab ± tremelimumab vs. chemotherapy","Common TRAEs: Fatigue, nausea, decreased appetite, diarrhea; Grade ≥3: Anemia (7%), fatigue (2%), diarrhea (1%)"
"JAVELIN Bladder 100 (2020)","Patients with unresectable locally advanced or metastatic UC that had not progressed after first-line platinum-based chemotherapy","Avelumab (anti-PD-L1 antibody) maintenance therapy vs. best supportive care","Median OS: 21.4 months (avelumab) vs. 14.3 months (best supportive care); HR 0.69 (95% CI: 0.56–0.86)","Grade 3–4 TRAEs: 12%; Common TRAEs: Fatigue, pruritus, infusion-related reactions; Most common Grade ≥3: Fatigue, urinary tract infection"
"BLC2001 (2019)","Patients with locally advanced or metastatic UC with FGFR3 or FGFR2 genetic alterations who progressed after platinum-based chemotherapy","Erdafitinib (FGFR inhibitor)","ORR: 32.2% (95% CI: 22.4–42.0%); Median PFS: 5.5 months (95% CI: 4.2–6.0)","Grade ≥3 TRAEs: 46%; Common TRAEs: Hyperphosphatemia, stomatitis, diarrhea, fatigue; Most common Grade ≥3: Hyperphosphatemia, stomatitis"
"EV-301 (2021)","Patients with locally advanced or metastatic UC previously treated with platinum-based chemotherapy and a PD-1/PD-L1 inhibitor","Enfortumab vedotin (antibody-drug conjugate) vs. chemotherapy (docetaxel, paclitaxel, vinflunine)","Median OS: 12.88 months (enfortumab vedotin) vs. 8.97 months (chemotherapy); HR 0.70 (95% CI: 0.56–0.89, p=0.001)","Grade ≥3 TRAEs: 51% (enfortumab vedotin) vs. 50% (chemotherapy); Common TRAEs: Fatigue, peripheral neuropathy, alopecia, rash, hyperglycemia; Most common Grade ≥3: Rash, hyperglycemia, peripheral neuropathy"
"EV-103 Cohort K (2021)","Cisplatin-ineligible patients with previously untreated locally advanced or metastatic UC","Enfortumab vedotin ± pembrolizumab","Confirmed ORR: 64.5% (EV + pembrolizumab) vs. 45.2% (EV monotherapy); 95% CI: 52.7–75.1 vs. 33.5–57.3","Grade ≥3 TRAEs: Similar to EV-301; Common TRAEs: Rash, peripheral neuropathy, fatigue"
"TROPHY-U-01 (2021)","Patients with locally advanced or metastatic UC who progressed after platinum-based chemotherapy and checkpoint inhibitor therapy","Sacituzumab govitecan (antibody-drug conjugate)","ORR: 27% (95% CI: 19.5–37%); Median duration of response: 5.9 months (95% CI: 4.9–8.8)","Grade ≥3 TRAEs: 51%; Common TRAEs: Neutropenia, diarrhea, anemia, fatigue, nausea, alopecia, vomiting, constipation, decreased appetite, abdominal pain; Most common Grade ≥3: Neutropenia (34%), anemia (14%), febrile neutropenia (10%)"
"TROPiCS-04 (2024)","Patients with locally advanced or metastatic UC previously treated with platinum-based chemotherapy and checkpoint inhibitors","Sacituzumab govitecan vs. physician's choice chemotherapy (docetaxel, paclitaxel, vinflunine)","Median OS: 10.3 months (sacituzumab govitecan) vs. 9 months (chemotherapy); HR 0.86 (95% CI: 0.73–1.02)","Grade ≥3 TRAEs: Similar to TROPHY-U-01; Common TRAEs: Neutropenia, diarrhea, fatigue, anemia"

